,Open,High,Low,Close,Volume,Datetime
2024-08-22 05:38:00,226.4000,226.4000,226.4000,226.4000,1,2024-08-22 05:38:00
2024-08-22 05:39:00,226.4500,226.4700,226.4200,226.4200,195,2024-08-22 05:39:00
2024-08-22 05:40:00,226.4000,226.4600,226.4000,226.4600,80,2024-08-22 05:40:00
2024-08-22 05:41:00,226.4000,226.4000,226.4000,226.4000,11,2024-08-22 05:41:00
2024-08-22 05:42:00,226.4000,226.4000,226.4000,226.4000,1,2024-08-22 05:42:00
2024-08-22 05:43:00,226.4000,226.4000,226.4000,226.4000,2,2024-08-22 05:43:00
2024-08-22 05:44:00,226.4700,226.4900,226.4700,226.4900,45,2024-08-22 05:44:00
2024-08-22 05:46:00,226.4800,226.5900,226.4800,226.5900,1601,2024-08-22 05:46:00
2024-08-22 05:47:00,226.5400,226.5400,226.4600,226.4800,3,2024-08-22 05:47:00
2024-08-22 05:48:00,226.5600,226.5600,226.5600,226.5600,2,2024-08-22 05:48:00
2024-08-22 05:49:00,226.5400,226.5600,226.5400,226.5600,4,2024-08-22 05:49:00
2024-08-22 05:50:00,226.4800,226.5700,226.4400,226.5700,207,2024-08-22 05:50:00
2024-08-22 05:52:00,226.4600,226.5000,226.4400,226.4400,62,2024-08-22 05:52:00
2024-08-22 05:54:00,226.4700,226.4700,226.4700,226.4700,1,2024-08-22 05:54:00
2024-08-22 05:55:00,226.4600,226.5100,226.4300,226.5100,158,2024-08-22 05:55:00
2024-08-22 05:56:00,226.4200,226.4200,226.4200,226.4200,4,2024-08-22 05:56:00
2024-08-22 05:57:00,226.4500,226.4500,226.4500,226.4500,3,2024-08-22 05:57:00
2024-08-22 05:58:00,226.4500,226.4500,226.3900,226.3900,521,2024-08-22 05:58:00
2024-08-22 05:59:00,226.3900,226.3900,226.3900,226.3900,5,2024-08-22 05:59:00
2024-08-22 06:00:00,226.4000,226.4000,226.4000,226.4000,10,2024-08-22 06:00:00
2024-08-22 06:01:00,226.4200,226.5000,226.4200,226.4600,236,2024-08-22 06:01:00
2024-08-22 06:02:00,226.4600,226.4600,226.4600,226.4600,84,2024-08-22 06:02:00
2024-08-22 06:03:00,226.4600,226.4600,226.4600,226.4600,3,2024-08-22 06:03:00
2024-08-22 06:04:00,226.5000,226.5000,226.4800,226.4800,10,2024-08-22 06:04:00
2024-08-22 06:06:00,226.4900,226.5000,226.4900,226.5000,65,2024-08-22 06:06:00
2024-08-22 06:07:00,226.5000,226.5000,226.5000,226.5000,36,2024-08-22 06:07:00
2024-08-22 06:08:00,226.4600,226.5000,226.4600,226.4700,62,2024-08-22 06:08:00
2024-08-22 06:09:00,226.5000,226.5000,226.4200,226.4200,69,2024-08-22 06:09:00
2024-08-22 06:10:00,226.4700,226.4700,226.4700,226.4700,6,2024-08-22 06:10:00
2024-08-22 06:12:00,226.4800,226.4800,226.4500,226.4500,596,2024-08-22 06:12:00
2024-08-22 06:13:00,226.5000,226.5000,226.5000,226.5000,40,2024-08-22 06:13:00
2024-08-22 06:14:00,226.5000,226.5200,226.4800,226.4900,269,2024-08-22 06:14:00
2024-08-22 06:15:00,226.5600,226.5600,226.5000,226.5000,9,2024-08-22 06:15:00
2024-08-22 06:16:00,226.5000,226.5000,226.4600,226.4600,17,2024-08-22 06:16:00
2024-08-22 06:17:00,226.5000,226.5000,226.4600,226.4800,104,2024-08-22 06:17:00
2024-08-22 06:18:00,226.5100,226.5400,226.5000,226.5400,67,2024-08-22 06:18:00
2024-08-22 06:19:00,226.5600,226.5600,226.5600,226.5600,5,2024-08-22 06:19:00
2024-08-22 06:20:00,226.5200,226.5700,226.5200,226.5700,31,2024-08-22 06:20:00
2024-08-22 06:21:00,226.5300,226.5300,226.5300,226.5300,1,2024-08-22 06:21:00
2024-08-22 06:22:00,226.5200,226.5400,226.5200,226.5400,2,2024-08-22 06:22:00
2024-08-22 06:23:00,226.5700,226.6000,226.5400,226.5900,432,2024-08-22 06:23:00
